 ,14310
的,1288
提供,999
保障,920
服务,909
有,779
好,679
报销,639
高,559
无,489
护理,457
专人,450
专业,433
可靠,432
疾病,419
多,412
价格,405
安全,386
大,385
保险,382
合理,379
保费,370
便宜,346
金额,306
缴费,305
优惠,282
合适,281
1,279
2,276
费用,243
要,241
低,237
理赔,236
力度,229
价格合理,214
保险公司,201
经济,189
不,187
；,186
缴纳,184
支付,177
保险金额,167
足够,165
信誉,164
比例,164
可以,161
服务态度,155
保险产品,146
收益,146
定,142
重大,138
3,136
多少,130
少,126
为,124
没有,123
价格便宜,121
与,120
范围,117
保证,112
在,112
钱,112
不高,111
较,111
个人,111
自己,108
公司,108
风险,108
能,106
及时,105
保险费用,105
有益于,104
时间,103
我,98
态度,98
可,93
额度,92
咨询,90
种类,89
保额,88
挂号,88
和,87
连续,85
赔偿,83
资金,83
每年,82
是否,79
不能,77
产品,76
方便,75
条件,75
定期,73
快,73
保金,72
80,70
实惠,70
太高,69
达,69
收入,68
长,66
承担,66
补偿,65
投保,63
比较,62
简单,62
范围广,61
服务周到,60
赔付,60
诚信,59
能够,57
性价比,57
需要,56
售后,55
短,55
还有,54
赔款,54
质量,52
时,52
对,52
稳定,51
次性,50
发生,50
需,50
正规,49
全面,49
会,49
给,49
程序,48
养老,48
小,47
就,47
回访,46
真实,46
也,45
手续,45
心理,45
交,45
年限,45
医疗,44
情绪,44
平台,44
回报,44
知道,44
信誉度,43
不要,43
口碑,43
情况,43
生活,42
定时,42
了,41
治疗,41
服务到位,41
可信度,40
调查,40
全,40
都,40
家庭,40
价格低,39
之内,39
或,39
万,38
维护,38
是,38
速度,37
到位,37
不会,37
买,37
购买,37
太,37
病种,37
更,36
啊,36
可观,36
问题,36
减轻,35
具体,35
时长,34
价钱,34
嗯,34
考虑,33
以上,33
身体,33
安全可靠,33
能力,33
压力,32
生病,32
点,32
所,32
健康,32
等,31
有钱,31
部分,31
信用,31
快捷,30
关系,30
去,28
谱,28
有效,28
年,28
免费,28
投入,28
支持,28
至贫,28
有用,27
靠,27
措施,27
如果,27
意外,27
到,27
没,26
具有,26
赔付率,26
售后服务,26
上,26
体检,26
良好,26
长期,25
价值,25
保险金,24
以后,24
社保,24
可信,24
各种,24
法律,24
利益,23
流程,23
普遍,23
减少,22
贵,22
并且,22
有无,22
应该,22
很,21
优惠政策,21
满足,21
回报率,21
必须,21
钱少,21
自身,21
损失,21
相对,21
针对,21
同,20
人性化,20
合同,20
人,20
以,20
送,20
联系,20
负责,20
保险费,20
些,20
支出,20
事故,20
交费,19
把握,19
接受,19
采取,19
涵盖,19
机会,19
你,18
密切,18
4,18
保持,18
保户,18
安全性,18
实用,18
尽量减少,18
品牌,18
营销员,18
可靠性,18
切,18
打电话,18
应当,18
拜访,18
符合,18
较大,18
防灾,18
礼品,18
承受,18
防损,18
问候,18
太贵,17
所以,17
便捷,17
保护,17
后,17
病,17
专业人士,17
就行,17
患病,17
大病,17
负担,17
人员,17
可能,17
以防,17
期限,17
收费,17
透明度,17
好处,17
老年,16
返还,16
真实有效,16
得,16
合法,16
得到,16
给钱,16
划算,15
效益,15
无力,15
处理,15
根据,15
福利,15
内,15
康复,15
强,15
清楚,15
包含,15
保障性,15
辅导,15
时候,15
阶段,14
好用,14
广,14
朋友,14
快速,14
花钱,14
看,14
做,14
①,13
②,13
年龄,13
投资,13
对于,13
标准,13
明确,13
而且,13
程度,13
常见,13
补贴,13
必要,13
上门服务,13
发,13
定得,13
希望,13
额,13
