 ,11841
没,1579
不,1124
钱,1042
必要,599
无,581
时间,523
有,513
保险,479
的,479
没有,443
收入,440
长,432
太贵,430
了,401
太,397
需要,389
经济,344
缴费,283
少,265
疾病,263
我,262
担心,259
贵,251
身体,243
受骗,243
大,241
买,224
购买,216
费用,205
问题,205
自己,200
不会,200
条件,196
好,192
重大,189
风险,188
考虑,181
这个,178
不想,169
低,148
觉得,146
身体健康,146
医保,143
有限,132
高,129
过,128
支付,125
还,120
用,118
了解,116
安全,111
很,110
多,110
太高,110
不到,105
1,105
3,102
价格,100
资金,99
已经,96
意义,93
也,92
上,92
同,89
连续,88
无力,87
感觉,85
过长,81
环境,80
居住,80
金额,80
2,80
相信,77
没什么,76
金钱,76
是,73
家庭环境,71
情绪,71
心理,71
保费,70
小,67
没用,67
比较,66
已,66
医疗保险,65
；,65
对,65
知道,62
还有,60
认为,59
较,58
暂时,57
保障,56
麻烦,56
能力,56
病,56
不够,55
得,55
健康,55
投资,54
穷,54
可以,53
其他,53
不太,52
那么,52
现在,51
等,50
用处,49
在,49
负担,48
生病,48
谱,47
收益,47
这种,46
不起,46
太久,45
单位,45
喜欢,45
发生,45
至贫,44
会,44
几率,44
身体状况,43
已有,42
长期,41
类似,41
信,39
应该,39
可能,39
不靠,38
患病,38
怕,38
投入,38
与,37
就,37
花钱,36
患,36
多钱,35
信任,35
缴纳,34
闲钱,34
年限,34
15,33
原因,33
这些,33
就是,32
巨大,31
和,31
不感兴趣,31
而且,31
消费,31
可能性,30
目前,30
年,30
保险金,30
啊,30
理解,30
农村,30
不可,30
周期,29
大病,29
笔,29
家庭,29
30,28
不能,28
次性,28
因为,28
有点,27
太长,27
兴趣,27
商业保险,27
理赔,27
未来,27
不划算,26
出现,26
允许,26
什么,26
都,25
存在,25
懂,25
可靠,24
不用,24
概率,24
有钱,23
被,23
多余,23
相关,23
不好,22
定,22
年轻,22
资金不足,22
续费,21
孩子,21
保险产品,21
承担,21
去,21
生活,20
还是,20
治疗,20
养老,20
骗,20
商业,20
有些,20
买不起,20
吧,19
万,19
社保,19
这样,19
重要,19
无法,19
交,19
医疗,19
稳定,19
遥远,18
般,18
保险公司,18
中,18
浪费,18
挺,18
但,18
太多,18
较大,18
意外,17
给,17
存款,17
因,17
用不着,17
不高,17
人,17
周围,17
好用,17
无关,17
情况,17
险,16
认定,16
得病,16
侥幸心理,16
清楚,16
打算,16
足够,16
压力,16
对于,16
昂贵,16
相同,16
甚,15
错误,15
年龄,15
项目,15
投保人,15
不同,15
分红,15
到,15
五金,15
以为,15
行,15
引起,15
由此,15
现行,15
纠纷案件,15
存有,15
花费,15
参与,15
这么,15
少数,15
不是,15
不确定性,14
不足,14
要,14
不买,14
不必要,14
如果,14
嗯,14
想,14
不了,14
4,14
服务,13
子女,13
放心,13
过大,13
还好,13
报销,13
政府,12
以后,12
值得,12
工作,12
这,12
确定,12
开销,12
很小,12
十五年,12
困难,12
不要,12
你,12
害怕,11
投保,11
信心,11
想法,11
其它,11
并且,11
更,11
真的,11
过多,11
能,11
所以,11
国家,11
不如,11
钱太多,11
家里,11
产品,10
啥,10
死,10
家里人,10
骗子,10
未知,10
骗人,10
过高,10
太小,10
期限,10
没想,10
且,10
花销,10
啦,10
买过,10
次,9
不足以,9
生,9
健康状况,9
个,9
差,9
早,9
方面,9
久,9
支持,9
暂,9
紧张,9
法师,9
状况良好,9
多少,9
时候,9
缺钱,8
房产,8
保险费用,8
合作,8
些,8
范围,8
自身,8
花,8
再说,8
合适,8
难,8
较长,8
看,8
为,8
并,8
注意,8
可,8
说,8
交费,8
繁琐,8
方式,8
别的,8
那种,8
很多,8
