 ,14354
报销,1273
的,1201
有,1015
保障,956
好,755
服务,632
高,571
价格,543
安全,517
无,512
合理,443
多,426
保费,408
保险,374
便宜,361
费用,356
合适,351
低,324
理赔,321
优惠,297
1,281
要,270
2,269
疾病,256
比例,254
大,250
可靠,247
金额,211
价格合理,208
方便,199
；,198
经济,198
可以,185
不,175
快,168
态度,162
信誉,160
风险,160
提供,154
服务态度,150
保证,147
挂号,146
3,141
少,138
收益,135
保险产品,132
缴费,132
定,131
力度,129
保险金额,128
价格便宜,126
能,123
投保,122
没有,120
及时,120
额度,120
条件,115
和,114
医疗,111
我,109
实惠,108
个人,104
有益于,101
公司,97
与,95
范围,95
缴纳,94
可,94
性价比,92
多少,92
范围广,92
质量,92
时间,91
钱,90
在,88
为,86
较,84
专业,83
购买,81
速度,77
赔偿,75
简单,74
收入,74
重大,74
是否,73
养老,71
生病,71
保额,69
保金,69
方式,69
都,68
能力,68
支付,68
自己,68
简便,67
赔付率,67
对,66
小,65
保险公司,65
诚信,64
比较,62
服务周到,62
短,62
较大,61
足够,61
能够,61
咨询,60
时,59
稳定,58
赔付,58
程序,56
补偿,55
价钱,55
看病,54
全面,53
会,52
安全可靠,51
资金,50
价格低,50
可信度,49
80,48
平台,48
就,47
种类,47
真实,47
意外,47
人员,46
健康,46
或,46
靠,45
保护,45
谱,45
定期,45
回报,43
不会,42
做,42
处理,42
产品,42
是,42
买,41
生活,41
承担,41
符合,41
需要,41
不要,41
了,40
疑问,40
信得过,39
更,39
危险,39
报,39
手续,38
啊,37
达,37
口碑,37
部分,35
给,35
消费,35
正规,35
不高,35
很,34
信用,34
知道,34
实用,34
住院,34
医疗保障,33
到位,33
太,33
发生,33
各种,33
等,33
不能,33
服务到位,33
贵,33
身体,32
嗯,31
比重,31
情况,31
年限,31
医药费,30
也,30
至贫,30
问题,30
措施,30
渠道,30
售后,29
病,29
实用性,29
长,28
全,28
社保,28
投资,28
以上,28
价值,28
上门服务,28
有效,28
太贵,28
具有,28
大病,27
投入,27
售后服务,27
没,27
压力,27
自身,27
安全性,27
支出,27
信誉度,27
流程,26
钱少,26
有钱,26
减轻,26
便捷,26
相对,26
交,26
得,25
划算,25
有用,25
减少,25
护理,25
所,25
快捷,25
考虑,25
收费,25
医院,24
回报率,24
并且,24
点,23
效率高,23
有无,23
到,23
满足,22
应该,22
保险金,22
联系,22
利益,22
法律,22
项目,22
看,22
对于,22
事故,21
好用,21
切,21
太高,21
所以,21
可信,21
还有,21
针对,21
及,20
体检,20
损失,20
方面,20
期限,20
包含,20
优惠政策,20
门诊,20
让,20
效益,20
后,19
以,19
快速,19
花钱,19
如果,19
以及,19
接受,19
利润,19
良好,19
去,18
开销,18
保障性,18
福利,18
机会,18
大小,18
后期,18
效果,18
小病,18
专业人士,18
问候,18
需求,18
完善,17
包括,17
内容,17
采取,17
打电话,17
密切,17
礼品,17
人,17
营销员,17
保户,17
拜访,17
适合,17
人性化,17
尽量减少,17
防灾,17
基本,17
可靠性,17
防损,17
保持,17
应当,17
送,17
把握,17
程度,16
适中,16
具体,16
大部分,16
够,16
医保,16
些,16
医疗保险,16
给钱,16
内,16
保险费用,16
赔钱,16
放心,16
情绪,15
公正,15
心理,15
解决,15
合法,15
广,15
强,15
回访,14
什么,14
补贴,14
知名度,14
周到,14
门槛,14
免费,14
适当,14
专门,14
就行,14
真的,14
未来,14
无力,14
得到,14
病种,14
品牌,14
合同,14
服务质量,14
任何,14
承受,14
保,14
伤害,14
优质,14
所有,14
个,13
明确,13
需,13
国家,13
医疗费,13
定得,13
赔额,13
