 ,12339
不,1431
没,1351
钱,905
有,884
不会,651
需要,572
保险,569
年内,563
必要,539
没有,515
无,506
的,487
什么,462
大病,449
生,431
医保,427
收入,425
身体,350
时间,336
经济,316
我,299
少,277
了,253
购买,244
自己,243
买,232
太贵,229
大,227
太短,225
短,224
担心,219
好,216
这个,210
疾病,210
风险,200
受骗,200
问题,197
保障,185
年,183
贵,175
考虑,174
生病,172
条件,170
很,169
医疗保险,156
不想,153
身体健康,152
现在,152
了解,149
过,147
低,135
还,125
费用,119
1,116
不太,115
已经,114
安全,108
感觉,106
暂时,105
3,100
心理,100
情绪,100
意义,97
目前,95
谱,95
用,92
相信,92
支付,92
觉得,90
健康,90
不靠,85
重大,84
资金,84
等,83
足够,80
较,79
居住,79
环境,79
信任,78
在,78
其他,77
商业,77
身体状况,76
已,76
农村,74
没用,74
太,72
家庭环境,71
年限,68
2,68
已有,68
对,66
能力,66
这种,64
认为,64
；,63
单位,62
还有,62
知道,61
价格,61
高,60
有限,60
穷,59
信赖,59
社保,59
不到,59
至贫,58
浪费,57
未来,54
是,54
年轻,53
短期,53
不够,51
可能,48
不高,48
也,47
可以,46
几率,45
怕,45
患病,43
比较,43
喜欢,43
因为,43
家庭,42
可靠,41
期限,41
多,41
用处,41
金钱,40
商业保险,40
概率,39
懂,39
信,39
保费,39
类似,38
无力,37
会,36
太高,35
被,35
麻烦,34
非常,34
状况良好,34
闲钱,34
与,34
事故,33
兴趣,33
收益,33
多余,32
小,32
原因,32
所以,32
不划算,32
负担,31
关系,31
骗,30
理赔,30
去,30
理解,30
不是,29
就,29
不可,29
应该,29
报销,29
医疗,29
花钱,28
不感兴趣,28
和,28
啊,27
不用,27
都,27
挺,26
还好,26
害怕,25
投资,25
就是,24
投入,24
意外,24
骗人,24
有钱,24
没什么,24
这些,23
买过,23
可能性,23
不好,23
服务,23
不必要,23
发生,22
国家,21
病,21
很少,21
近期,21
保险产品,20
相关,20
过长,20
养老,20
中,19
存在,19
但,19
政府,19
稳定,19
4,19
用不着,18
那么,18
情况,18
而且,18
不足,17
周围,17
定,17
因,17
人,17
重要,17
医药费,17
骗子,17
出现,16
良好,16
你,16
相同,16
放心,16
吧,16
由此,15
错误,15
基本,15
少数,15
以为,15
不同,15
投保人,15
资金不足,15
无关,15
现行,15
存有,15
分红,15
纠纷案件,15
认定,15
五金,15
侥幸心理,15
家里,15
来说,15
引起,15
甚,15
想,14
合作医疗,14
保险公司,13
啥,13
性,13
不起,13
出,12
合作,12
清楚,12
得,12
允许,12
感冒,12
给,12
这,12
般,12
还是,12
没想,12
嗯,12
个人,12
不买,12
生活,11
工作,11
要,11
项目,11
最近,11
状况,11
不错,11
子女,11
消费,11
年龄,11
参与,10
信心,10
再,10
价格昂贵,10
买不起,10
诈骗,10
来源,10
长,10
产品,10
不要,10
又,10
选择,10
好用,10
作用,10
行,10
且,9
不敢,9
接触,9
大用处,9
不能,9
并且,9
很小,9
用不上,9
主要,9
差,9
多钱,9
开销,9
我会,9
以后,9
不敢相信,9
经商,9
养老保险,9
活动,9
现阶段,9
其它,9
打算,9
自身,9
花,9
孩子,9
啦,9
期,8
保期,8
对于,8
更,8
支出,8
健康状况,8
社保卡,8
可,8
下降,8
