 ,11088
没,1351
不,1278
钱,899
有,661
时间,626
无,545
长,540
的,498
需要,485
太,467
没有,457
收入,420
保险,398
必要,395
子女,316
自己,302
太贵,285
了,279
经济,276
担心,273
照顾,263
缴费,249
少,248
受骗,247
我,213
可以,209
考虑,206
买,198
问题,193
风险,188
这个,187
了解,175
大,175
贵,168
护理,152
过,142
不想,142
购买,126
价格,124
条件,123
1,122
家人,122
安全,115
居住,112
能力,111
低,109
过长,108
3,105
去,102
心理,100
高,100
情绪,100
2,99
疾病,99
会,99
由,98
资金,98
多,96
不太,94
用,92
保障,91
好,90
意义,87
还,87
支付,85
很,85
相信,85
费用,84
不会,81
环境,81
儿女,80
和,79
感觉,78
身体健康,77
养老院,77
老年,75
无力,75
照料,73
不到,72
家庭环境,71
信任,69
；,68
服务,68
不够,67
周期,67
对,66
保费,64
有限,64
知道,63
在,63
金钱,62
谱,61
连续,61
太高,61
医保,59
觉得,59
孩子,58
身体,57
还有,56
暂时,56
生活,53
不靠,53
比较,52
重大,52
同,52
投资,50
也,50
至贫,50
没用,49
这种,49
家庭,49
15,48
是,48
认为,48
穷,47
可靠,47
年,46
太久,46
收益,45
喜欢,45
现在,45
不是,44
懂,44
其他,44
起居,43
怕,43
用处,40
年限,40
太长,39
医疗保险,39
已经,39
单位,39
与,38
上,38
养老,38
不能,38
信,38
可能,38
就,37
较,36
兴趣,36
麻烦,35
等,35
闲钱,34
关系,34
周期长,34
长期,34
过高,34
自理,33
无法,33
未来,33
负担,33
年轻,32
信赖,32
不用,32
存在,31
理解,31
对于,31
花钱,31
已,31
商业,31
原因,30
收费,30
孝顺,30
商业保险,29
那么,29
因为,29
不可,28
放心,28
投入,28
情况,28
多余,28
啊,27
缴纳,26
农村,26
被,26
金额,25
而且,25
应该,25
不感兴趣,24
遥远,24
意外,24
目前,23
害怕,23
可,23
养老保险,23
保险公司,23
要,23
就是,23
不起,22
都,21
年龄,21
骗,21
个人,21
能,21
定,20
替代,20
保险产品,20
护工,20
以后,20
到,20
投保,20
老,19
理赔,19
人,19
较大,19
你,19
花费,18
不足,18
4,18
有钱,18
但,18
不好,18
没什么,18
周围,18
稳定,18
还是,18
专业,18
用不着,18
险种,18
重要,18
足够,17
医疗,17
多钱,17
允许,17
存有,17
工作,17
出现,17
资金不足,17
中,17
方面,17
什么,17
浪费,17
因,16
如果,16
相同,16
身边,16
事情,16
错误,16
侥幸心理,16
过多,16
不划算,16
买不起,15
我会,15
少数,15
吧,15
开销,15
不同,15
承担,15
用不上,15
认定,15
交,15
来,15
引起,15
纠纷案件,15
五金,15
做,15
健康,15
儿子,15
小,15
打算,15
由此,15
分红,15
无关,15
甚,15
十五年,15
不买,15
现行,15
以为,15
投保人,15
清楚,14
挺,14
这些,14
嗯,14
更,14
好用,14
得,14
或者,14
提供,14
选择,14
来说,14
确定,14
骗人,13
生病,13
太远,13
没想,13
太多,13
政府,13
女儿,12
不敢,12
又,12
未知,12
家里,12
发生,12
保证,12
合适,12
给,12
已有,11
交费,11
更好,11
不必要,11
后,11
时,11
状况,11
骗子,11
不了,11
家里人,11
所以,11
社保,11
这,11
钱少,11
这方面,10
类似,10
没钱,10
年太长,10
般,10
久,10
有点,10
愿意,10
不要,10
安全性,10
实用性,10
银行,9
可能性,9
保姆,9
不确定性,9
抚养,9
信誉,9
回报,9
来源,9
进行,9
可信度,9
几年,9
很多,9
护理人员,9
并且,9
公司,9
朋友,9
同意,9
续费,9
习惯,9
般交于,9
没钱买,9
产品,9
样,8
社会,8
现实,8
本身,8
以及,8
别的,8
啥,8
失去,8
早,8
基本,8
靠,8
性价比,8
质量,8
自理能力,8
别人,8
其它,8
再说,8
自身,8
值得,7
女,7
发,7
有人,7
几率,7
合作,7
暂,7
保险费用,7
支持,7
让,7
不高,7
容易,7
真的,7
呵呵,7
观念,7
这样,7
是否,7
想法,7
下降,7
买过,7
赡养,7
事,7
活动,7
时候,7
压力,7
因素,7
复杂,7
个,7
需求,7
实力,7
算,7
差,7
退休金,7
不敢相信,7
请,6
看好,6
直接,6
接触,6
商业化,6
再,6
贴心,6
金,6
的话,6
身体状况,6
猜,6
实际,6
可靠性,6
想,6
且,6
工资,6
主要,6
外人,6
交钱,6
利益,6
相关,6
年老,6
实用,6
困难,6
把,6
很少,6
该,6
上当,6
险,6
呢,6
退休,6
侯明昊,6
有五险,6
持续,6
雇佣,6
那,6
法,6
般有,6
将来,6
啦,5
难以,5
二,5
起,5
够,5
诈骗,5
法师,5
不如,5
承受,5
支出,5
现阶段,5
到时候,5
农合,5
决定,5
限制,5
年纪,5
难,5
能够,5
们,5
看,5
存款,5
依靠,5
不合理,5
担负,5
强,5
程序,5
养老金,5
才,5
多少,5
未,5
意识,5
上学,5
价格昂贵,5
充足,5
担忧,5
短,5
钱太多,5
经商,5
为,5
不知,5
5,5
希望,5
那时,5
假,5
有儿,5
说,5
信心,5
有些,5
v,5
花,5
类,5
那个,4
想要,4
已买,4
烦,4
作用,4
如何,4
没听说过,4
根本,4
每年,4
续保,4
常年,4
咯,4
变数,4
明确,4
没事,4
成本,4
熟悉,4
繁琐,4
老伴,4
