1调查地区,2年龄,3性别,4户口,5职业状况,6身体健康状况,7A ,7B ,7C ,7D,7E,7F ,7G ,7H,8worry_risk,9A,9B ,9C ,9D ,9E ,9F,9G,9H ,9I ,9J ,商业医疗保险,商业医疗保险购买条件,商业医疗保险不考虑,商业护理保险,护理保险购买条件,护理保险不考虑购买商业护理保险，主要原因,商业重大疾病保险,疾病保险保险产品购买条件,重大疾病不考虑购买原因,税前总收入
河北,35,1,2,2,1,0,0,1,0,0,1,0,0,活动能力开销问题收入保障,0,1,0,1,0,0,0,0,0,0,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,3
山西,35,2,1,4,1,0,1,0,0,0,0,0,0,心理情绪,1,0,0,0,0,0,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,4
湖北,35,2,3,2,2,0,0,0,1,0,0,1,0,开销大,1,0,1,0,0,1,0,0,0,0,2,-3,投入低，保障稳定,1,报销便捷流程短,-3,1,性价比高 投入低，保障稳定,-3,4
四川,43,2,2,6,3,1,1,0,0,0,1,1,0,疾病，心理的影响,1,0,0,0,0,0,0,0,0,0,2,-3,因为没有必要,2,-3,没有必要,2,-3,不喜欢,1
辽宁,42,2,2,3,2,1,1,0,1,1,1,1,0,最担心莫过于心理问题和护理问题。其一现在都是独生子女，儿女有自己的生活并不能常回来，好的一个月回来一次，远的一年回来一次，心理素质肯定会有失落；其二，也因为儿女不能常来，护理就会很成问题，衰老会使身体机能下降很难自己做的面面俱到。,1,1,1,0,0,0,1,0,0,0,1,便捷的理赔程序以及人性化服务,-3,1,便捷的理赔程序以及人性化服务,-3,1,便捷的理赔程序以及人性化服务,-3,5
河北,35,2,2,1,1,1,1,1,1,1,0,0,0,收入低有重大疾病，自理能力下降,1,1,1,1,1,0,0,0,0,0,1,风险小  保险公司业务水平高有保障,-3,1,风险小 保险公司有保障,-3,1,风险小  保险公司有保障,-3,2
辽宁,43,1,2,3,1,1,1,0,1,1,1,1,0,家里两个孩子，并不担心护理赡养问题，比较关心心理问题，怕成为家里的负担,1,1,1,0,0,0,0,0,0,0,1,人性化的服务以及快速理赔,-3,1,人性化的服务以及快速理赔,-3,1,人性化的服务以及快速理赔,-3,5
河北,31,1,3,3,2,0,0,1,0,1,0,0,0,家庭关系,0,0,0,0,0,0,1,0,0,0,1,有保障就好,-3,1,有保障就好,-3,1,有保障就好,-3,1
甘肃,57,2,1,1,3,1,0,0,0,1,0,0,0,自理能力下降麻烦子女，有疾病开支大,0,0,0,0,0,0,1,0,0,0,1,体检，费用合理,-3,2,-3,时间太长，担心经济问题,1,体检，保障详情,-3,2
河北,31,1,2,2,2,1,0,0,0,1,1,1,0,疾病，失去自理能力,1,0,1,1,0,0,0,0,0,0,1,便宜，流程简单,-3,2,-3,不像,2,-3,患病率小,2
内蒙古,58,2,3,4,3,0,0,0,0,0,1,0,0,无,0,0,1,0,0,0,0,0,0,0,2,-3,无,2,-3,无,2,-3,无,3
河南,35,1,1,2,2,0,1,1,0,0,0,0,0,收入，疾病，家庭关系,0,0,1,0,0,0,0,0,0,1,1,报销过程简单,-3,1,简单,-3,1,便宜，保障好,-3,3
北京,35,1,1,1,1,1,0,0,0,0,0,0,0,收入开销疾病,1,0,0,0,0,0,0,0,0,0,1,便宜,-3,1,便宜,-3,1,便宜,-3,2
北京,35,1,1,1,1,1,0,0,0,0,0,0,0,收入开销疾病,1,0,0,0,0,0,0,0,0,0,1,便宜,-3,1,便宜,-3,1,便宜,-3,2
辽宁,35,1,4,1,1,0,0,0,1,0,0,0,0,没钱,1,1,0,0,0,0,0,0,0,0,2,-3,没钱,2,-3,没钱,2,-3,没钱,1
江西,36,2,5,1,1,1,1,0,0,1,0,0,0,1-家庭关系；2-居住环境；3-收入开销,1,0,0,0,0,0,0,0,0,0,1,1-便宜，2-效果好，3-售后服务要有保障,-3,1,1-便宜，2-效果好，3-售后服务要有保障,-3,1,1-便宜，2-效果好，3-售后服务要有保障,-3,4
